parcel_id,zone_code
"29 3712-00-529","RR-65"
"29 3710-00-557","RR-65"
"29 3710-00-517","RR-65"
"29 3710-00-548","RR-65"
"29 3711-00-529","RR-65"
"29 3711-00-552","RR-65"
"29 3711-00-531","RR-65"
"29 3711-00-557","RR-65"
"29 3711-00-546","RR-65"
"29 3711-00-513","RR-65"
"29 3712-00-503","RR-65"
"29 3711-00-756","RR-65"
"29 3710-00-759","RR-65"
"29 3710-00-759.1","RR-65"
"29 3711-00-503","RR-65"
"29 3712-00-807","RR-65"
"29 3712-00-787","RR-65"
"29 3710-00-509","CL"
"29 3710-00-553","CL"
"29 3710-00-502","CL"
"29 3712-00-531","RR-65"
"29 3710-00-550","CL"
"29 3712-00-530","RR-65"
"29 3710-00-566","RR-65"
"29 3711-00-760","RR-65"
"29 3710-00-547","RR-65"
"29 3712-00-545","RR-65"
"29 3711-00-508","RR-65"
"29 3711-00-518","RR-65"
"29 3711-00-565","RR-65"
"29 3711-00-548","RR-65"
"29 3711-00-543","RR-65"
"29 3711-00-515","RR-65"
"29 3712-00-773","RR-65"
"29 3807-00-500","INS"
"29 3712-00-780","RR-65"
"29 3712-00-750","RR-65"
"29 3712-00-751","RR-65"
"29 3807-00-502","INS"
"29 3712-00-540","RR-65"
"29 3712-00-541","RR-65"
"29 3712-00-532","RR-65"
"29 3712-00-520","RR-65"
"29 3712-00-544","RR-65"
"29 3711-00-754","RR-65"
"29 3711-00-751","RR-65"
"29 3711-00-752","RR-65"
"29 3711-00-520","RR-65"
"29 3711-00-511","RR-65"
"29 3711-00-563","RR-65"
"29 3711-00-753","RR-65"
"29 3711-00-556","RR-65"
"29 3710-00-761","RR-65"
"29 3702-00-778","RR-65"
"29 3806-01-2-2","RM-6"
"28 3831-00-257.1","R/LC"
"29 3806-00-11","RS-21"
"29 3806-00-10","INS"
"28 3831-54-B-54","CG"
"28 3735-25-B","INS"
"28 3735-25-2","RS-10"
"29 3710-00-754","RR-65"
"29 3711-00-254","RR-65"
"29 3710-00-562","RR-65"
"28 3735-00-510","INS"
"28 3831-26-4-1","RS-10"
"28 3831-26-4-8","RS-10"
"28 3831-26-5-1","RS-10"
"28 3831-26-3-1","CG"
"28 3736-50-B-3","RS-15"
"28 3831-26-8.2","RR-65"
"28 3831-26-8.1","CG"
"28 3831-26-6-1","RS-10"
"28 3831-26-4-3","RS-10"
"28 3831-26-6-3","RS-10"
"28 3831-26-6-7","RS-10"
"28 3831-26-6-13","RS-10"
"28 3831-26-6-12","RS-10"
"28 3831-26-3-20","CG"
"28 3831-26-3-14","CG"
"28 3831-26-2-2","RS-10"
"28 3831-26-2-14","CG"
"28 3831-54-5-52","R/LC"
"28 3831-54-5-50","R/LC"
"28 3831-54-5-1","R/LC"
"28 3831-54-5-48","R/LC"
"28 3831-54-5-3","R/LC"
"28 3831-54-5-47","RS-10"
"28 3831-54-5-46","RS-10"
"28 3831-54-5-44","RS-10"
"28 3831-54-5-4","RS-10"
"28 3831-54-5-8","RS-10"
"28 3831-54-5-10","RS-10"
"28 3831-54-5-39","RS-10"
"28 3831-54-5-12","RS-10"
"28 3831-54-5-13","RS-10"
"28 3831-54-5-37","RS-10"
"28 3831-54-5-14","RS-10"
"28 3831-54-5-16","RS-10"
"28 3831-54-5-34","RS-10"
"28 3831-54-5-31","RS-10"
"28 3831-54-5-17","RS-10"
"28 3831-54-5-28","RS-10"
"28 3831-54-5-22","RS-10"
"28 3831-54-4-40","RS-10"
"28 3831-54-4-6","RS-10"
"28 3831-54-4-8","RS-10"
"28 3831-54-4-34","RS-10"
"28 3831-54-4-30","RS-10"
"28 3831-54-4-15","RS-10"
"28 3831-54-4-26","RS-10"
"28 3831-54-4-18","RS-10"
"28 3831-54-4-22","RS-10"
"28 3831-54-B-36","CG"
"28 3831-54-B-30","CG"
"28 3831-54-B-26","CG"
"28 3831-54-B-11","CG"
"28 3831-54-D-1","CG"
"28 3831-50-A-1.01","CG"
"28 3831-50-A-3","CG"
"28 3831-50-A-8.03","CG"
"28 3831-50-A-8.07","INS"
"29 3806-00-2","R/LC"
"29 3806-02-B-9","RM-6"
"29 3806-00-19","CP"
"29 3806-02-B-12","RM-6"
"29 3806-02-C-10","RM-6"
"29 3806-02-C-5","RM-6"
"28 3831-75-*-1","RM-6"
"28 3831-75-*-3","RM-6"
"28 3831-75-*-6","RM-6"
"28 3831-75-*-7","RM-6"
"28 3831-75-*-9","RM-6"
"28 3831-75-*-12","RM-6"
"28 3831-75-*-14","RM-6"
"28 3831-75-*-37","RM-6"
"28 3831-75-*-31","RM-6"
"28 3831-54-B-3.02","RR-65"
"28 3831-54-B-4.01","RR-65"
"28 3831-54-B-4.03","RR-65"
"28 3831-00-267","CG"
"28 3831-00-269","CG"
"28 3831-54-B-52","OI"
"28 3831-UU-P.4","INS"
"29 3710-00-752","RR-65"
"29 3710-00-508","CL"
"29 3807-00-753","RR-65"
"29 3701-00-757","RR-65"
"29 3701-00-854","RR-65"
"29 3701-00-774","RR-65"
"29 3701-00-787","RR-65"
"29 3711-00-274","RR-65"
"29 3711-00-311","RR-65"
"29 3711-00-262","RR-65"
"29 3701-00-830","RR-65"
"29 3702-00-823","RR-65"
"29 3703-00-781","RR-65"
"29 3703-00-500","RR-65"
"29 3712-00-103","RR-65"
"29 3701-00-757.1","INS"
"29 3711-75-45-1","RR-65"
"29 3711-75-41-1","RR-65"
"29 3711-75-38","RR-65"
"29 3711-75-32","RR-65"
"29 3711-75-22-1","RR-65"
"29 3711-75-27-1","RR-65"
"29 3711-75-19-1","RR-65"
"29 3711-75-12-1","RR-65"
"29 3711-00-8","RR-65"
"29 3711-00-8.1","RR-65"
"29 3711-00-33.1","RR-65"
"29 3711-00-33","RR-65"
"29 3711-00-12","RR-65"
"29 3711-00-22","RR-65"
"28 3831-26-7-9","RS-10"
"29 3711-00-1.2","RR-65"
"29 3711-00-1.1","RR-65"
"29 3712-00-55","RR-65"
"29 3711-00-34","RR-65"
"29 3711-00-14","RR-65"
